First Name,Middle Name,Last Name,Gender,Investor Type,Custodian,Entity,Email,Phone,Birthdate,Address,Postal Code,City,State,Country,Tax ID,Tax Country,Tax ID2,Tax Country 2,Tax ID3,Tax Country 3,Registration Date,KYC Status,KYC Date,KYC Expiry Date,KYC Performed Date,Accreditation Status,Qualification Status Per Asset,Accreditation / Qualification Date,Accreditation / Qualification Expiry Date,Subscription Agreement Status,Subscription Agreement Date,Pledged Amount,Investment Amount,Investment Date,Currency,Treasury Tokens,Bonus Tokens,Assigned Tokens,Assigned Bonus Tokens,Total Tokens,Rounds,Token Wallet Amount,Token Wallet Address,Document ID Number,Document Type,Labels,SecuritizeID,Identity Document Number,Phone Prefix,Country of Birth,City of Birth,Additional Info
AUT519,import,Automation,male,individual,,,automation@securitize.io,1234,12/12/1983,ota 111,1405,bs as,WA,US,1234,US,4231,AO,3333,AU,03/01/2021 (UTC),verified,03/06/2021 (UTC),03/06/2022 (UTC),03/06/2021 (UTC),confirmed,confirmed,03/06/2021 (UTC),03/06/2022 (UTC),confirmed,03/06/2021 (UTC),300,30,03/09/2021 10:31,USD,0,0,2,0,0,,0,,,passport,automationImport,none,30036410,+1,US,NYC,dddd
AUT519,import,Automation,male,individual,,,automation@securitize.io,1234,12/12/1983,ota 111,1405,bs as,WA,US,1234,US,4231,AO,3333,AU,03/01/2021 (UTC),verified,03/06/2021 (UTC),03/06/2022 (UTC),03/06/2021 (UTC),confirmed,confirmed,03/06/2021 (UTC),03/06/2022 (UTC),confirmed,03/06/2021 (UTC),300,30,03/09/2021 10:31,USD,0,0,2,0,0,,0,,,passport,automationImport,none,30036410,+1,US,NYC,dddd
AUT519,import,Automation,male,individual,,,automation@securitize.io,1234,12/12/1983,ota 111,1405,bs as,WA,US,1234,US,4231,AO,3333,AU,03/01/2021 (UTC),verified,03/06/2021 (UTC),03/06/2022 (UTC),03/06/2021 (UTC),confirmed,confirmed,03/06/2021 (UTC),03/06/2022 (UTC),confirmed,03/06/2021 (UTC),300,30,03/09/2021 10:31,USD,0,0,2,0,0,,0,,,passport,automationImport,none,30036410,+1,US,NYC,dddd
AUT519,import,Automation,male,individual,,,automation@securitize.io,1234,12/12/1983,ota 111,1405,bs as,WA,US,1234,US,4231,AO,3333,AU,03/01/2021 (UTC),verified,03/06/2021 (UTC),03/06/2022 (UTC),03/06/2021 (UTC),confirmed,confirmed,03/06/2021 (UTC),03/06/2022 (UTC),confirmed,03/06/2021 (UTC),300,30,03/09/2021 10:31,USD,0,0,2,0,0,,0,,,passport,automationImport,none,30036410,+1,US,NYC,dddd
AUT519,import,Automation,male,individual,,,automation@securitize.io,1234,12/12/1983,ota 111,1405,bs as,WA,US,1234,US,4231,AO,3333,AU,03/01/2021 (UTC),verified,03/06/2021 (UTC),03/06/2022 (UTC),03/06/2021 (UTC),confirmed,confirmed,03/06/2021 (UTC),03/06/2022 (UTC),confirmed,03/06/2021 (UTC),300,30,03/09/2021 10:31,USD,0,0,2,0,0,,0,,,passport,automationImport,none,30036410,+1,US,NYC,dddd
AUT519,import,Automation,male,individual,,,automation@securitize.io,1234,12/12/1983,ota 111,1405,bs as,WA,US,1234,US,4231,AO,3333,AU,03/01/2021 (UTC),verified,03/06/2021 (UTC),03/06/2022 (UTC),03/06/2021 (UTC),confirmed,confirmed,03/06/2021 (UTC),03/06/2022 (UTC),confirmed,03/06/2021 (UTC),300,30,03/09/2021 10:31,USD,0,0,2,0,0,,0,,,passport,automationImport,none,30036410,+1,US,NYC,dddd
AUT519,import,Automation,male,individual,,,automation@securitize.io,1234,12/12/1983,ota 111,1405,bs as,WA,US,1234,US,4231,AO,3333,AU,03/01/2021 (UTC),verified,03/06/2021 (UTC),03/06/2022 (UTC),03/06/2021 (UTC),confirmed,confirmed,03/06/2021 (UTC),03/06/2022 (UTC),confirmed,03/06/2021 (UTC),300,30,03/09/2021 10:31,USD,0,0,2,0,0,,0,,,passport,automationImport,none,30036410,+1,US,NYC,dddd
AUT519,import,Automation,male,individual,,,automation@securitize.io,1234,12/12/1983,ota 111,1405,bs as,WA,US,1234,US,4231,AO,3333,AU,03/01/2021 (UTC),verified,03/06/2021 (UTC),03/06/2022 (UTC),03/06/2021 (UTC),confirmed,confirmed,03/06/2021 (UTC),03/06/2022 (UTC),confirmed,03/06/2021 (UTC),300,30,03/09/2021 10:31,USD,0,0,2,0,0,,0,,,passport,automationImport,none,30036410,+1,US,NYC,dddd
AUT519,import,Automation,male,individual,,,automation@securitize.io,1234,12/12/1983,ota 111,1405,bs as,WA,US,1234,US,4231,AO,3333,AU,03/01/2021 (UTC),verified,03/06/2021 (UTC),03/06/2022 (UTC),03/06/2021 (UTC),confirmed,confirmed,03/06/2021 (UTC),03/06/2022 (UTC),confirmed,03/06/2021 (UTC),300,30,03/09/2021 10:31,USD,0,0,2,0,0,,0,,,passport,automationImport,none,30036410,+1,US,NYC,dddd
AUT519,import,Automation,male,individual,,,automation@securitize.io,1234,12/12/1983,ota 111,1405,bs as,WA,US,1234,US,4231,AO,3333,AU,03/01/2021 (UTC),verified,03/06/2021 (UTC),03/06/2022 (UTC),03/06/2021 (UTC),confirmed,confirmed,03/06/2021 (UTC),03/06/2022 (UTC),confirmed,03/06/2021 (UTC),300,30,03/09/2021 10:31,USD,0,0,2,0,0,,0,,,passport,automationImport,none,30036410,+1,US,NYC,dddd
